iter	Passed	Remaining
0	204	16124
1	306	11961
2	405	10398
3	581	11056
4	759	11397
5	880	10855
6	981	10239
7	1066	9602
8	1163	9181
9	1269	8886
10	1368	8581
11	1528	8661
12	1736	8950
13	1838	8668
14	1966	8520
15	2059	8237
16	2171	8047
17	2275	7836
18	2384	7656
19	2497	7492
20	2628	7384
21	2817	7427
22	2971	7363
23	3081	7190
24	3221	7086
25	3357	6972
26	3565	6998
27	3683	6841
28	3779	6646
29	3944	6574
30	4140	6543
31	4261	6392
32	4361	6211
33	4468	6045
34	4629	5952
35	4806	5874
36	4915	5712
37	5022	5551
38	5125	5388
39	5234	5234
40	5344	5083
41	5463	4943
42	5575	4797
43	5689	4654
44	5789	4503
45	5893	4355
46	5997	4211
47	6102	4068
48	6207	3926
49	6307	3784
50	6415	3647
51	6522	3512
52	6623	3374
53	6725	3238
54	6929	3149
55	7135	3057
56	7242	2922
57	7335	2782
58	7441	2648
59	7593	2531
60	7727	2406
61	7834	2274
62	7939	2142
63	8113	2028
64	8309	1917
65	8418	1785
66	8525	1654
67	8628	1522
68	8791	1401
69	8949	1278
70	9072	1150
71	9317	1035
72	9426	903
73	9549	774
74	9653	643
75	9753	513
76	9881	384
77	10060	257
78	10181	128
79	10280	0
