iter	Logloss
0	0.6570927696
1	0.623811807
2	0.5928251578
3	0.5644803287
4	0.5383409324
5	0.5142253258
6	0.4919865456
7	0.4714991864
8	0.4526412334
9	0.4347401491
10	0.418755751
11	0.4035597815
12	0.3898236973
13	0.3773280175
14	0.3658173617
15	0.3551927705
16	0.3452830691
17	0.3362485015
18	0.3275643344
19	0.3195443372
20	0.3124738382
21	0.3056380605
22	0.2992880493
23	0.2937429979
24	0.2884694133
25	0.2834747785
26	0.2788153807
27	0.2746778813
28	0.2707060796
29	0.2670081923
30	0.2637402348
31	0.2607491169
32	0.2579268378
33	0.2552994486
34	0.2529171932
35	0.250654539
36	0.2485978707
37	0.2465347788
38	0.2447830414
39	0.243091469
40	0.2415258572
41	0.2399344315
42	0.2386176068
43	0.2372657342
44	0.2359821673
45	0.2348853029
46	0.2338999522
47	0.2328504351
48	0.2318891033
49	0.2310826736
50	0.2302277708
51	0.2294293512
52	0.2287834329
53	0.228179061
54	0.227608253
55	0.227074982
56	0.2265808382
57	0.2260219802
58	0.2255567809
59	0.2250870949
60	0.2246788376
61	0.2242516408
62	0.2239231296
63	0.2235979625
64	0.2232513242
65	0.2229095427
66	0.2225976491
67	0.2223626941
68	0.2221427938
69	0.2218921192
70	0.2216528831
71	0.2214521468
72	0.221283149
73	0.22108555
74	0.2208916513
75	0.2207168189
76	0.2205453823
77	0.2203854773
78	0.2202360072
79	0.2200954271
80	0.2199820768
81	0.2198580576
82	0.2197504193
83	0.2196688275
84	0.2195802073
85	0.2194867133
86	0.2193988343
87	0.2193320292
88	0.2192476493
89	0.2191666072
90	0.2191138706
91	0.2190651929
92	0.2189971671
93	0.2189385779
94	0.218873791
95	0.218836208
96	0.218785076
97	0.218751978
98	0.2187188881
99	0.218676277
100	0.2186275748
101	0.2185860622
102	0.2185492256
103	0.218510991
104	0.2184760607
105	0.218456237
106	0.2184230279
107	0.2183949559
108	0.2183776011
109	0.218361803
110	0.2183404847
111	0.2183268986
112	0.2183019764
113	0.2182866563
114	0.218273511
115	0.218261148
116	0.2182383601
117	0.2182132198
118	0.2181938153
119	0.2181766901
120	0.2181621316
121	0.2181457134
122	0.2181345805
123	0.2181204329
124	0.2181109766
125	0.218098038
126	0.2180893268
127	0.2180681766
128	0.2180590266
129	0.2180519491
130	0.2180436896
131	0.2180301305
132	0.2180228615
133	0.2180143805
134	0.2179612283
135	0.2179392921
136	0.2179208442
137	0.2178655191
138	0.2178598692
139	0.2178126254
140	0.217797409
141	0.2177570879
142	0.2177442034
143	0.2177012525
144	0.2176630499
145	0.2176299246
146	0.2176187968
147	0.2175793793
148	0.2175782813
149	0.2175492859
150	0.2175356673
151	0.2175260257
152	0.2174980026
153	0.217497236
154	0.2174897097
155	0.2174629818
156	0.2174562408
157	0.2174528753
158	0.2174275822
159	0.2174037177
160	0.2173812381
161	0.2173777052
162	0.2173600914
163	0.2173567427
164	0.2173388486
165	0.2173385313
166	0.2173140348
167	0.217304411
168	0.2172855401
169	0.2172694346
170	0.2172678022
171	0.2172553948
172	0.2172513969
173	0.2172499076
174	0.217249407
175	0.2172351633
176	0.2172331617
177	0.2172317855
178	0.2172298913
179	0.217228346
180	0.2172180255
181	0.2172169988
182	0.2172160331
183	0.2172129594
184	0.2169874556
185	0.2167959484
186	0.2166744153
187	0.2165801248
188	0.2163909057
189	0.2162082169
190	0.2161194625
191	0.2160385961
192	0.2158719815
193	0.2157906516
194	0.2157124825
195	0.2155474898
196	0.2154844547
197	0.2153244965
198	0.2151768188
199	0.2151023023
200	0.215051386
201	0.2149986881
202	0.2149688201
203	0.2149082916
204	0.2148409902
205	0.2147920913
206	0.2147373525
207	0.2146309424
208	0.2145301838
209	0.2144353331
210	0.2143950342
211	0.2143538316
212	0.2143226187
213	0.2142408187
214	0.2141771603
215	0.2141444238
216	0.2140780927
217	0.2140425228
218	0.2139768722
219	0.2139241449
220	0.2138968767
221	0.2138730479
222	0.2138178771
223	0.2137642829
224	0.2137430823
225	0.2137229819
226	0.2137016252
227	0.2136874262
228	0.2136650511
229	0.2136189209
230	0.2135978316
231	0.2135783702
232	0.2135639516
233	0.2135518154
234	0.2135063023
235	0.2134945118
236	0.2134878478
237	0.2134545694
238	0.213440598
239	0.2134329859
240	0.2134189133
241	0.2133890745
242	0.2133735489
243	0.2133438928
244	0.2133354857
245	0.2133217609
246	0.2133148915
247	0.2133077641
248	0.2133031855
249	0.2132786576
250	0.2132684767
251	0.2132594958
252	0.2132325078
253	0.2132290282
254	0.2132058075
255	0.2131864442
256	0.2131689588
257	0.2131626318
258	0.2131625751
259	0.2131558089
260	0.2131323122
261	0.213126282
262	0.2131159698
263	0.2131146521
264	0.213096403
265	0.2130780546
266	0.2130703145
267	0.213068105
268	0.2130619798
269	0.2130488816
270	0.213038622
271	0.2130276255
272	0.2130221215
273	0.2130198642
274	0.2130153227
275	0.2130122317
276	0.213010403
277	0.2130005534
278	0.2129959587
279	0.2129946858
280	0.2129932291
281	0.2129828714
282	0.2129785271
283	0.2129771523
284	0.2129677147
285	0.2129560174
286	0.2129537827
287	0.2129426177
288	0.2129268
289	0.2129257816
290	0.2129158059
291	0.2129155274
292	0.2129127353
293	0.212903329
294	0.2128943826
295	0.2128873828
296	0.2128867008
297	0.2128864752
298	0.2128810495
299	0.2128802158
300	0.2128635372
301	0.2128609119
302	0.2128530367
303	0.2128526418
304	0.212851674
305	0.2128500056
306	0.2128492283
307	0.2128491714
308	0.2128424011
309	0.2128340094
310	0.2128302048
311	0.2128262159
312	0.212818298
313	0.2128109997
314	0.2128080845
315	0.2128078509
316	0.2128078445
317	0.2128063657
318	0.2128054061
319	0.2128048838
320	0.2127991433
321	0.2127931292
322	0.2127923833
