iter	Passed	Remaining
0	60	30239
1	107	26703
2	166	27600
3	219	27244
4	248	24561
5	273	22541
6	301	21254
7	326	20088
8	363	19846
9	394	19319
10	430	19130
11	466	18991
12	494	18531
13	522	18125
14	544	17609
15	568	17209
16	612	17403
17	676	18110
18	720	18241
19	759	18239
20	782	17853
21	800	17390
22	831	17234
23	851	16891
24	879	16701
25	907	16548
26	954	16718
27	986	16628
28	1019	16551
29	1038	16274
30	1057	16000
31	1080	15808
32	1109	15695
33	1135	15557
34	1150	15285
35	1174	15143
36	1198	14995
37	1233	14991
38	1248	14763
39	1281	14740
40	1337	14974
41	1386	15120
42	1407	14955
43	1426	14780
44	1462	14783
45	1508	14891
46	1523	14683
47	1548	14582
48	1580	14548
49	1628	14659
50	1671	14719
51	1748	15063
52	1829	15427
53	1911	15787
54	2016	16318
55	2112	16745
56	2220	17260
57	2320	17686
58	2386	17835
59	2429	17816
60	2490	17921
61	2543	17966
62	2587	17948
63	2638	17976
64	2687	17983
65	2710	17825
66	2736	17682
67	2750	17470
68	2772	17316
69	2804	17229
70	2831	17111
71	2854	16971
72	2871	16797
73	2896	16673
74	2925	16578
75	2949	16452
76	2983	16388
77	3012	16298
78	3041	16206
79	3060	16066
80	3082	15944
81	3101	15808
82	3129	15723
83	3145	15579
84	3175	15504
85	3190	15357
86	3227	15321
87	3270	15310
88	3338	15418
89	3379	15397
90	3406	15308
91	3421	15174
92	3439	15054
93	3468	14981
94	3520	15008
95	3541	14904
96	3567	14822
97	3585	14709
98	3614	14641
99	3643	14573
100	3666	14485
101	3688	14393
102	3714	14316
103	3742	14251
104	3769	14180
105	3787	14078
106	3824	14048
107	3851	13978
108	3878	13912
109	3910	13865
110	3934	13790
111	3950	13684
112	3990	13665
113	4082	13823
114	4212	14101
115	4314	14281
116	4414	14450
117	4549	14728
118	4612	14767
119	4702	14890
120	4760	14911
121	4857	15049
122	4921	15083
123	4961	15043
124	5013	15041
125	5114	15182
126	5200	15274
127	5266	15306
128	5310	15271
129	5360	15256
130	5381	15158
131	5404	15067
132	5427	14975
133	5442	14864
134	5460	14763
135	5483	14676
136	5502	14579
137	5534	14517
138	5560	14441
139	5584	14359
140	5602	14263
141	5619	14168
142	5682	14185
143	5737	14185
144	5833	14281
145	5920	14354
146	6014	14442
147	6155	14641
148	6210	14629
149	6336	14785
150	6445	14896
151	6521	14931
152	6612	14996
153	6674	14995
154	6743	15010
155	6852	15110
156	6925	15129
157	6986	15122
158	7076	15176
159	7154	15203
160	7251	15268
161	7376	15390
162	7488	15482
163	7537	15442
164	7661	15555
165	7703	15500
166	7819	15591
167	7956	15723
168	8011	15691
169	8099	15722
170	8169	15718
171	8221	15678
172	8250	15595
173	8267	15489
174	8294	15403
175	8314	15306
176	8339	15218
177	8358	15119
178	8381	15030
179	8400	14933
180	8430	14858
181	8446	14757
182	8464	14661
183	8480	14564
184	8514	14496
185	8537	14412
186	8554	14318
187	8584	14247
188	8698	14312
189	8786	14335
190	8832	14288
191	8863	14218
192	8885	14133
193	8914	14060
194	8964	14021
195	8992	13947
196	9013	13863
197	9046	13798
198	9071	13721
199	9102	13653
200	9128	13578
201	9149	13498
202	9173	13421
203	9205	13356
204	9226	13277
205	9255	13209
206	9290	13150
207	9315	13077
208	9347	13014
209	9382	12956
210	9399	12874
211	9421	12799
212	9444	12725
213	9472	12659
214	9493	12583
215	9517	12513
216	9543	12445
217	9568	12377
218	9609	12329
219	9643	12273
220	9666	12203
221	9681	12123
222	9706	12056
223	9744	12006
224	9772	11943
225	9796	11876
226	9822	11813
227	9841	11741
228	9862	11671
229	9881	11600
230	9915	11546
231	9939	11481
232	9965	11419
233	9986	11352
234	10014	11293
235	10033	11223
236	10059	11162
237	10090	11108
238	10114	11045
239	10136	10981
240	10168	10928
241	10195	10869
242	10221	10810
243	10253	10757
244	10275	10694
245	10296	10631
246	10321	10572
247	10363	10530
248	10387	10470
249	10419	10419
250	10454	10371
251	10481	10314
252	10525	10275
253	10572	10239
254	10619	10202
255	10655	10156
256	10683	10101
257	10705	10041
258	10724	9979
259	10764	9936
260	10801	9891
261	10817	9826
262	10844	9772
263	10859	9707
264	10885	9653
265	10903	9591
266	10932	9540
267	10954	9483
268	10977	9426
269	11002	9372
270	11020	9312
271	11056	9267
272	11084	9217
273	11108	9162
274	11137	9112
275	11153	9051
276	11179	9000
277	11203	8946
278	11228	8893
279	11248	8838
280	11278	8790
281	11346	8771
282	11408	8747
283	11445	8705
284	11480	8661
285	11558	8648
286	11653	8648
287	11700	8612
288	11752	8580
289	11793	8540
290	11862	8519
291	11888	8468
292	11928	8427
293	11962	8381
294	11993	8334
295	12037	8296
296	12084	8259
297	12109	8208
298	12158	8173
299	12181	8121
300	12218	8078
301	12251	8032
302	12278	7983
303	12301	7931
304	12331	7883
305	12357	7834
306	12380	7783
307	12403	7732
308	12434	7686
309	12456	7634
310	12493	7592
311	12520	7544
312	12552	7499
313	12620	7476
314	12667	7439
315	12727	7410
316	12781	7378
317	12817	7335
318	12844	7288
319	12858	7232
320	12885	7185
321	12917	7140
322	12940	7091
323	12980	7051
324	13035	7019
325	13065	6973
326	13116	6939
327	13150	6895
328	13173	6846
329	13210	6805
330	13250	6765
331	13335	6747
332	13399	6719
333	13454	6686
334	13502	6650
335	13545	6611
336	13595	6576
337	13661	6547
338	13742	6526
339	13807	6497
340	13844	6455
341	13880	6412
342	13912	6368
343	13936	6319
344	13976	6279
345	14016	6238
346	14044	6192
347	14098	6158
348	14150	6122
349	14232	6099
350	14339	6087
351	14388	6049
352	14406	5999
353	14433	5952
354	14450	5902
355	14499	5865
356	14522	5816
357	14538	5766
358	14558	5718
359	14582	5670
360	14611	5626
361	14634	5578
362	14669	5536
363	14688	5487
364	14707	5439
365	14729	5392
366	14763	5350
367	14791	5305
368	14815	5259
369	14832	5211
370	14851	5164
371	14884	5121
372	14914	5078
373	14946	5035
374	14972	4990
375	14999	4946
376	15022	4901
377	15044	4855
378	15063	4809
379	15100	4768
380	15125	4724
381	15142	4677
382	15155	4629
383	15173	4583
384	15196	4539
385	15228	4497
386	15249	4452
387	15274	4409
388	15298	4365
389	15338	4326
390	15374	4285
391	15417	4247
392	15433	4201
393	15463	4160
394	15493	4118
395	15549	4083
396	15578	4041
397	15608	4000
398	15649	3961
399	15688	3922
400	15711	3878
401	15741	3837
402	15769	3795
403	15801	3754
404	15843	3716
405	15879	3676
406	15908	3635
407	15937	3593
408	15958	3550
409	15997	3511
410	16020	3469
411	16074	3433
412	16125	3396
413	16163	3357
414	16184	3314
415	16252	3281
416	16320	3248
417	16355	3208
418	16388	3168
419	16433	3130
420	16469	3090
421	16502	3050
422	16522	3007
423	16555	2967
424	16592	2928
425	16614	2886
426	16647	2845
427	16682	2806
428	16707	2765
429	16779	2731
430	16862	2699
431	16928	2664
432	16951	2622
433	16999	2585
434	17027	2544
435	17058	2503
436	17107	2466
437	17171	2430
438	17200	2390
439	17217	2347
440	17252	2308
441	17290	2268
442	17322	2228
443	17344	2187
444	17385	2148
445	17403	2107
446	17436	2067
447	17462	2026
448	17515	1989
449	17551	1950
450	17583	1910
451	17634	1872
452	17655	1831
453	17685	1791
454	17701	1750
455	17734	1711
456	17762	1671
457	17784	1630
458	17831	1592
459	17861	1553
460	17889	1513
461	17911	1473
462	17945	1434
463	17964	1393
464	17978	1353
465	18003	1313
466	18038	1274
467	18065	1235
468	18110	1197
469	18149	1158
470	18178	1119
471	18208	1080
472	18241	1041
473	18267	1002
474	18298	963
475	18330	924
476	18357	885
477	18384	846
478	18413	807
479	18459	769
480	18486	730
481	18511	691
482	18544	652
483	18574	614
484	18619	575
485	18654	537
486	18687	498
487	18723	460
488	18742	421
489	18804	383
490	18839	345
491	18868	306
492	18902	268
493	18940	230
494	18968	191
495	19009	153
496	19033	114
497	19052	76
498	19085	38
499	19115	0
