iter	Passed	Remaining
0	10	1080
1	27	1343
2	33	1088
3	48	1168
4	60	1148
5	73	1143
6	80	1072
7	87	1007
8	94	951
9	102	919
10	109	886
11	115	848
12	128	861
13	137	847
14	146	829
15	155	815
16	170	834
17	181	825
18	193	826
19	201	805
20	208	783
21	214	761
22	225	754
23	232	735
24	248	745
25	260	740
26	268	724
27	277	713
28	284	695
29	290	678
30	296	659
31	302	643
32	308	625
33	314	610
34	324	602
35	330	586
36	337	574
37	343	560
38	351	550
39	359	539
40	365	525
41	371	512
42	376	499
43	384	489
44	390	477
45	396	464
46	404	456
47	410	444
48	416	433
49	422	422
50	428	411
51	435	402
52	442	392
53	448	382
54	454	371
55	460	361
56	469	353
57	475	344
58	481	334
59	487	325
60	493	315
61	500	306
62	506	297
63	514	289
64	522	281
65	529	272
66	534	263
67	540	254
68	550	247
69	557	238
70	564	230
71	570	221
72	576	213
73	594	208
74	611	203
75	625	197
76	638	190
77	653	184
78	663	176
79	671	167
80	679	159
81	685	150
82	694	142
83	709	135
84	719	127
85	728	118
86	735	109
87	746	101
88	756	93
89	764	84
90	771	76
91	782	68
92	790	59
93	798	50
94	805	42
95	812	33
96	817	25
97	829	16
98	835	8
99	843	0
